Xanadu Pub & Restaurant,"We phoned to make a reservation, requesting a table with a good view...& what a view! On the rooftop terrace we had a birds eye view overlooking Huay Kaew Road & the new Maya shopping plaza & aircraft taking off from Chiang mai airport flying...","Sterling, Illinois"
Xanadu Pub & Restaurant,"Thank you very much for taking the XANADU Pub&Restaurant . I'm glad to here that we are a part of your highlights. We are looking forward to welcome you back. If you have a chance to visit Chiangmai again, please come to visit u",lindalewx
Khao Soi Khun Yai,"Such a great place to eat your Khao Soi! In the old town, just a small local place which is managed by 2 charming ladies. No tourist come here, so expect plastic chairs and small tables but just THE best Khao Soi I ever had!!...",Canada
Khao Soi Khun Yai,"This is not so easy to find but is worth the hunt. Rated ""best bowl"" by some pundits, I wanted to find it myself.

The stall is just off the main road in what looks like the courtyard of a Wat. It is actually a...",Mireille D
Khao Soi Khun Yai,"Khao Soi, a rich curry noodles served with pickels, is an iconic dish of Chiang Mai and some websites have suggested that Khao Soi Khun Yai (Grandmother's Khao Soi) is the best place to taste it.
The place is a typical street cafe. It is...","Bangkok, Thailand"
Khao Soi Khun Yai,"I still dream about this place. I may even go so far as to say this is the best noodle dish i have ever eaten.
I was in Chiang Mai for 2 nights, and on my second day i ventured out to this hole-in-the-wall restaurant...",KittyG-Auckland
Khao Soi Khun Yai,Walking around in the rain for an hour yesterday without finding this place made it all the more delicious today. Went at 11 am and considering going back before they close at two. Will be eating here every day for the next week. Don't trust...,-
Khao Soi Khun Yai,"Massive fan of khao soi, the primary reason we keep returning to chiang mai! Visited on the strength of the reviews and we were not let down. Highly recommended and use the instructions helpfully provided by previous reviewer. Our driver had no trouble getting us...",Olivia S
Khao Soi Khun Yai,"This was so difficult to find at first, but it's just along Sriproom road and in between two temples. I was expecting so much more. The khao soi was good and cheap. Only 30 baht. But I've had better khao soi in another restaurant. The...","Los Angeles, California"
Khao Soi Khun Yai,"Firstly, do not make the mistake of relying on the map in tripadvisor to find this place. Instead see asupsiri's excellent directions in the review a few before this one. The khao soi beef I had was very good and just 35 baht. Perhaps my...",Samuel H
Khao Soi Khun Yai,"No wonder this place only gets 5 star reviews, this was one of the best dishes I've had in Thailand. A little bit of a wait, but what do you expect when the food is so damn good!",dennisegarcia
Khao Soi Khun Yai,We were reading about this restraurant and did eventually find it what a find we have been in Luang Prabang for three days and this is the best   The food is terrific and although a limited menu the food is superb the drinks were very...,"Taguig City, Philippines"
Khao Soi Khun Yai,"We've tried Khao Soi a few times since we've been in Chiang Mai, but not until we came here did we understand how it was really supposed to taste.  We went for lunch and found it to be busy but with a fairly fast turnover...",SDwarf
Khao Soi Khun Yai,"Khao Soi Kun Yai is the real deal and is totally worth seeking out. I can't speak for how it compares to other Khao Sois, but my wife and I agree that it was one of the most flavorful and memorable dishes we experienced in...","Bangkok, Thailand"
La Fourchette,"We had dinner last night and were pleasantly surprised with both the standard of food and the ambience of the restaurant. It has a typically french canopy over the entrance from the street, several outdoor tables & a ground floor dining area. French prints hang...","Paphos, Cyprus"
La Fourchette,We walked past this restaurant by chance and went in as we all felt like some French food. The sweet owner greeted us and told us about the specials which all sounded delicious - most of us took the duck (lasagna style). We were blown...,David_Albert_Park
restaurantName,review,userName
Jacky Show Restaurant,We called the last minute and were lucky enough to secure a table. Can’t believe we only paid 590 baht per person for a 6-course menu. It was worth every penny spent! My family enjoyed the dinner very much.,Phinn_Huang
Jacky Show Restaurant,"Came here expecting big things, because of all the reviews, and left disappointed.

Our evening started by standing in the waiting area for some minutes, without being acknowledged by the staff, and being awkwardly stared at by other diners. 
Not the best start, especially since...","Chungli, Taiwan"
Jacky Show Restaurant,"Service was amazing!! So was the food. It was fun having a 6 course meal and the price wasn’t bad at all. They have a sweet little pup that runs around the restaurant that had me sold! 
The chef came out and  talked with us,...",sippicreek
Jacky Show Restaurant,"I have been introduced to this new restaurant by my chiang mai friend.
Very small selected daily menu for our lunch but amazing value for money. 
The Chef is a long time professional who is still putting his full passion and heart in his food....",Wollongong
Jacky Show Restaurant,"美妙的食物和服務，與餐廳員工的有趣互動最令我所象深刻。我點了一支紅酒，他們會上大約5-6道菜，足夠令人飽肚。當然，那裡有一隻可愛的小狗擔任招待員，你還可以在用餐時觸摸他，非常可愛！如果你想要一個美好而難忘的晚上，這間餐廳會是一個非常好的選擇。

Delicious food with great service! The funny interaction with staff was impressive. I have ordered a bottle of red wine. They have provided 5-6 dishes in service. You can get full after having the dinner. Moreover, there was a adorable puppy serving as a...",U6679EGkatec
Jacky Show Restaurant,Food and service was excellent very nice setup up and warming environment can’t thank you guys enough much love  American Rapper model boy ;),"Patong, Thailand"
Jacky Show Restaurant,"We went to Jacky's restaurant tonight with my girlfriend. The food was delicious and very fresh. The staff is very friendly and polite. I highly recommend this place. The food is excellent. The price is cheap regarding the quality of everything.
Thank you ! We...",electronlibreBKK
Jacky Show Restaurant,"What an amazing restaurant to find in Nong Hoi! Jacky is such a great chef. Imaginative, creative and precise. Dinner is 6 surprise courses, all perfectly prepared and served. Stylish restaurant without too much formality and the owners are so friendly, and informative about each...","Bangkok, Thailand"
Jacky Show Restaurant,"Wonderful set menu. The owner and his wife are meticulous in their service and food quality.  Each course is a new delight to the eyes and the palate. Allow 2 hours for the full experience. Be prepared to pay in cash, if needed.  Make a...",ming_mcc
B Samcook Home 16,"Chef Boy has a set menu that he will adjust to dietary concerns but, lacking those, we just sat back and enjoyed having each course brought to us in turn - each one was beautifully plated and yummy. Chef Boy and his family are all...","Hong Kong, China"
B Samcook Home 16,"The staff is a family of super friendly locals with an exceptional chef that puts care into every of the 8 dishes served. If for some reason you do not want any of the prefixed menu dishes, the chef will create one for you as...",Mary Frances L
B Samcook Home 16,"Chef Boy made this one of our favorite dining experiences. He came to the table to discuss every new dish. We ate way too much, but everything was amazing. Worth every penny.","San Jose, CA"
B Samcook Home 16,A great menu with great variety! We even got an offer to taste the beef which had just been delivered on the house. We had an amazing night because of the great service and amazing dishes. I would definitely recommend anyone to go here.,SergioA1064
B Samcook Home 16,"My family and I dropped by this place at 5:30 before they were really even open.  They were fully booked, then took pity on us and jammed us in because we were so early.  Our kids freaked out on the food “because it was something...","Durham, North Carolina"
B Samcook Home 16,Absolutely had the best time - this is one place we all agree comes with a 5star + recommendation. Couldn’t fault the food and with the set menu approach really loved not having choices but with the right amount of individual tailoring to suit everyone’s...,Westcoastmainah
B Samcook Home 16,"Dropping here for a lunch and really surprise about everything, the food is nicely cook with lovely decoration. Just pay attention that they will close at 9pm and only serve the 990 baht meal per person for dinner.",olavz2017
B Samcook Home 16,"Best breakfast in Thailand and worth every penny! We will now be full until dinner time! Thank you! Highly recommend Eggs Benedict! Kind and welcoming staff Thank you for a wonderful Breakfast
We will be back soon!
Gem, Glen, Ellie and Maisie 
The England Family...",Frankgray4
B Samcook Home 16,"We absolutely loved this place and can see why it is ranked number 1 for dining in Chiang Mai! The atmosphere is relaxed, casual and friendly when you arrive which fits very well with the theme of the city. It feels like a favorite beer...","Westminster, Colorado"
Jacky Show Restaurant,"excellent food in small restaurant with aircon , very cheap rate , one of the best place for eat in chiang mai . Don't miss the fish soup so good so cheap. just perfect !!!!","San Diego, California"
Jacky Show Restaurant,This lovely restaurant serves an excellent 5 course meal in a very beautiful setting.  The delicious food is carefully prepared and artfully presented.  The chef and serving staff made me feel as if they were friends that wanted me to feel welcome and comfortable while...,Dge K
Jacky Show Restaurant,"We had lunch and diner a few times  at Jacky Show.
The food is great and freshly cooked by Jacky, the menu change often and the prices are very reasonable. The restaurant by itself has a nice atmosphere and the service is always great. Jacky...",Storm_Raven
Jacky Show Restaurant,"I had a very nice dinner there with an amazing 5 course menu 
The chef is really a nice person and is doing very amazing dishes","Chiang Mai, Thailand"
Jacky Show Restaurant,"The French restaurant which is guaranteed by two star level of chef Jacky. He selected the high quality ingredients to cook each menu, good taste, reasonable price. 
ร้านอาหารฝรั่งเศส สร้างสรรค์เมนูโดยเซฟแจคกี้ ซึ่งการันตีระดับสองดาว โดยเซฟจะเลือกวัตถุดิบที่มีคุณภาพมาปรุงอาหารในแต่ละเมนู รสชาติอร่อย ที่สำคัญราคาไม่แพง (จานละ 80-280 บ.) คุ้มมากๆ",popeyeetolive
Jacky Show Restaurant,"Great lunch at Jacky Show Restaurant! A variety of dishes on the menu suitable for people with different tastes at very reasonable prices. The food was delicately made and cooked amazingly by Jacky, the warm and light-hearted chef, accompanied by his lovely wife. The atmosphere...","Phra Phutthabat, Thailand"
Jacky Show Restaurant,"Simplicity and refinement
In a tastefully decorated setting, Jacky works with quality products and revisits French cuisine by bringing that personal touch. Excellent result for the taste buds, original presentation, very good value for money. As an individual, I appreciate that the kitchen is open...",Adrien T
Jacky Show Restaurant,"This restaurant is beautifully decorated with a soft atmosphere and offers the best of French cuisine. All ingredients are freshly selected by chef Jacky, prepared with the greatest care, the result is exceptional with very reasonable prices. The dessert as the main course is a...","Beloeil, Belgium"
Jacky Show Restaurant,We tried the French cuisine and on advise of the staff and the chef we wanted to be surprised. The chef prepared a fabulous surprise menu. Many small french dishes were served which tasted great. Everything was prepared with love for the french cuisine by...,Irissa C
B Samcook Home 16,"Owner and staff treated us like royalty! The restuarant has huge portions and the hotel is beautiful! If you ever come to chiang mai, B Family Home 16 is a must!",Lombok
B Samcook Home 16,"Called n for breakfast today with my wife, fantastic setting and surounds, slightly upmarket menu but still value for money n great selection. Staff were very polite and friendly, looking forward to trying 1 of the dinner meals or a relaxing drink another time, but...",Cali C
B Samcook Home 16,"A friend and I were walking around Chiang Mai and spotted this lovely place. We fell in love with the staff, the food, and the ambiance. We've been to B Family Home 16 several times now—for coffee, for dinner, and to celebrate birthdays! Each time...",Gili air
B Samcook Home 16,"This restaurant is amazing! Great decor, friendly international staff, and food that is out of this world! The menu? Forget about it! What amazing choices! I let the chef choose for me, and I ended up having the lamb in the special green sauce. I...",BrickiePaul
Baan Buri Cafe and Restaurant,Outstanding people with outstanding cocktails made from scratch with fresh juice and fruit. Highly recommend the Happy Hour!,MichPz
Baan Buri Cafe and Restaurant,Restaurant has a great menu and a good variation of food. We had a club sandwich whichwqs very good!,"Huntington Beach, California"
Baan Buri Cafe and Restaurant,This was the best restaurant we have eaten in Thailand at the moment. The khaoi soi was incredible. Really good quality/price.,Rick v
Baan Buri Cafe and Restaurant,"We came here to have dinner and it was a wonderful experience！Very friendly service, great environment, fair price and delicious food. Highly recommend pineapple rice.",mar_ag328
Baan Buri Cafe and Restaurant,"We went to this restaurant based on its reviews and were quite surprised. Alarm bells were ringing when we saw there were no Thai people eating there but decided to stay and brave it out. The food itself was tasty and presented beautifully, but they...","Madrid, Spain"
Baan Buri Cafe and Restaurant,"Service was amazing, very friendly and helpful. Had both breakfast and dinner here, and both meals were very delicious as well as their drinks. Would come back anytime!",siyuwen0404
Baan Buri Cafe and Restaurant,Food was delicious and nice presentation. A bit more expensive for Thailand but worth it. The service was nice and friendly but needed help - only saw one server for a crowded restaurant.,fluteman100
Baan Buri Cafe and Restaurant,"My boyfriend and I stumbled into this restaurant mainly because he needed to use the restroom and we wanted to eat in the AC. 

We shared the sweet and sour chicken and it was excellent! 

What topped it off was our happy hour drinks, the...","London, United Kingdom"
Baan Buri Cafe and Restaurant,"Very chill place to sit down with friends or family, food was good, and everyone can eat here, also if you don’t like Thai food. :))",josilito
Khao Soi Khun Yai,"While finding this exact location was a little tricky,  it did not disappoint. I have been in Thailand for over 1.5 years and have been hearing all about kaao soi from my friends in the north. I must say I was rather disappointed with the...","Bangkok, Thailand"
Khao Soi Khun Yai,"Wow! Khao Soi to die for, best I've ever had.

I had two bowls of the chicken khao soi and glass of longuan juice.

Place doesn't have a sign but is well known by word of mouth and deserves its great reputation",jglotzho
Khao Soi Khun Yai,"Not only is this one of the best khao soi I had in Chang Mai, this might be one of the best meals we had in our entire trip. It is a must try and chiang mai.","Orlando, Florida"
Khao Soi Khun Yai,"It was really hard to find, as the sign is not in English. But,  for the $$ it was good value. 35 Bt for a huge bowl of khao soi and the women behind the counter were wonderful. The soup part was wonderful, but the...",jamesmc007
Khao Soi Khun Yai,"We tried the kao soy with pork. It was delicious!!!
The broth was really tasty, full of flavors. For the price you pay, it is definitely a great deal!","Bangkok, Thailand"
Khao Soi Khun Yai,"Small, just off a main road and a really nice temple is literally next doors. We were there before 12 and the place wasn't packed yet. It had a really nice, quiet atmosphere and we enjoyed just taking a seat waiting for our food. Since...",ajkar727
Khao Soi Khun Yai,"That will rock your world.
Smiley service, prices very close to 0. 
If your mommy makes better noodles let me know. I will stop by.","Miami, Florida"
Khao Soi Khun Yai,Unassuming and tucked away but worth seeking out for the Khao Soi. There were only two portions left when we get there at 1330. Open 1000-1400,charley48
Khao Soi Khun Yai,Had two large cups of longan juice and the best noodlesoup i've ever tasted for 65 bath :-) will go back again tomorrow for more,idaho
David's Kitchen,Just had a wonderful night at David's Kitchen.  A real foodies delight. So many delicious choices on the menu it was a pity we hadn't tried this earlier in our stay! Had probably the best seared scallops and beef cheek ever. Two of my favourites...,Geoff C
David's Kitchen,"I was very surprised with David's Kitchen.  Don't get me wrong, I loved the food in Chiang Mai.  I just didn't expect a fine dining experience, with great service and tasty western food.  After trying pretty much trying everything I could find from street vendors,...",BrianaS87CLE
David's Kitchen,"An absolutely amazing experience! It started with a friendly greeting in the car park, continued with personalised and attentive staff throughout the evening and every dish that came to our table was incredibly delicious! The finer details were also taken care of with palate cleansers...","Cleveland, Ohio"
David's Kitchen,It's a real treat to eat here as it is super classy and the food is superior. You really need to make a reservation just to eat at this place as its always full. If you want one hi-so meal on your trip to CM...,966geoffb
David's Kitchen,"Been here twice during a Chiang Mai vacation. 
This place is highly recommended from every single point of view. 

Superb food, top notch service, beautiful grounds

Parking guard covers you with umbrella before entering the restaurant. Table meets you with a personal welcome sign with...",Morphettville
David's Kitchen,The food was amazing!!! I got the grilled chicken and my friend got the pork tenderloin and both were so so good. The staff was also very friendly and welcoming. Highly recommend,nomad127
David's Kitchen,"I went to this restaurant, the staff did not care, I did not have any service, I had to go to my place every time I needed anything. I am disappointed in the service here. Taste of delicious food Please update the service.","Foley, Alabama"
David's Kitchen,"Dear Mike,
I am very upset to read your Review but I am wondering if you actually visited our Restaurant David's Kitchen. This is the first time that we have ever received a complaint about our Service. We are actually very well known for the...",Alexander K
David's Kitchen,"Tried this after reading all the fantastic reviews and we were not disappointed! David was out of town during our visit but he followed up the next day with an email....his staff and team took great care of us, even singing happy birthday table side...","Bat Yam, Israel"
David's Kitchen,"Well worth a visit to this New Restaurant just outside of Down Town ChiangMai. I think a day time journey would be great to enjoy the tranquility and lovely setting of this restaurant.
You are really made to fell welcome, and there are little touches,...","Chiang Mai, Thailand"
David's Kitchen,"I have now been here several times since it opened before Christmas, and I will be back many more... David & Prom are delightful hosts, utterly charming, this is their 3rd restaurant in Chiang Mai, the other 2 were both discontinued with the birth of...",Lawrepete
David's Kitchen,"Ok so as far as food in Thailand goes this place is not cheap. Our Bill came to nearly 3500 Baht. (Including a Bottle of the Fizzy Stuff)

However I left feeling as though we'd had complete value for money, A meal of this quality...","Chiang Mai, Thailand"
David's Kitchen,Excellent food combined with breathtaking scenery and refreshing garden tables. We had a magnificent meal.,Jamescot65
David's Kitchen,"Only opened for a few weeks, David's Kitchen is poised to become one of the best eateries in town. A well-experienced Chef cooking up French and Thai delicacies, a not always perfect, but charming and very attentive service staff and the owner, David, always on...","Chiang Mai, Thailand"
David's Kitchen,"We went to DK this evening with 10 friends and the Food is just incredible combined with great Service in a cozy ambiance with acceptable prices. This will be one of our favorite places to go.
If you have a chance to visit, you have...",MrBenKelly
David's Kitchen,"I've eaten here three times already since I found out about it only three weeks ago. The food was excellent, which of course is most important. Two dishes which particularly stick in my mind were the rack of lamb and the tasty pumpkin soup. However,...","Harlow, United Kingdom"
David's Kitchen,"After a hot day we were looking for a place to have lunch. Although we were too late to have lunch, they gave us a warm welcome and made us a very tasty salad. We refreshed in the shadow under the trees and we had...",Giuseppe M
David's Kitchen,"We have been at David's Kitchen already two times and we will go more often for sure. We have had the Beef Belly which was melting in your mouth, the Duck which was delicious, the pasta seafood spicy and delicious too. The pomelo salad is...","Chiang Mai, Thailand"
Khao Soi Khun Yai,"Such a great place to eat your Khao Soi! In the old town, just a small local place which is managed by 2 charming ladies. No tourist come here, so expect plastic chairs and small tables but just THE best Khao Soi I ever had!!...",Canada
Khao Soi Khun Yai,"This is not so easy to find but is worth the hunt. Rated ""best bowl"" by some pundits, I wanted to find it myself.

The stall is just off the main road in what looks like the courtyard of a Wat. It is actually a...",Mireille D
Khao Soi Khun Yai,"Khao Soi, a rich curry noodles served with pickels, is an iconic dish of Chiang Mai and some websites have suggested that Khao Soi Khun Yai (Grandmother's Khao Soi) is the best place to taste it.
The place is a typical street cafe. It is...","Bangkok, Thailand"
Khao Soi Khun Yai,"I still dream about this place. I may even go so far as to say this is the best noodle dish i have ever eaten.
I was in Chiang Mai for 2 nights, and on my second day i ventured out to this hole-in-the-wall restaurant...",KittyG-Auckland
Khao Soi Khun Yai,Walking around in the rain for an hour yesterday without finding this place made it all the more delicious today. Went at 11 am and considering going back before they close at two. Will be eating here every day for the next week. Don't trust...,-
Khao Soi Khun Yai,"Massive fan of khao soi, the primary reason we keep returning to chiang mai! Visited on the strength of the reviews and we were not let down. Highly recommended and use the instructions helpfully provided by previous reviewer. Our driver had no trouble getting us...",Olivia S
Khao Soi Khun Yai,"This was so difficult to find at first, but it's just along Sriproom road and in between two temples. I was expecting so much more. The khao soi was good and cheap. Only 30 baht. But I've had better khao soi in another restaurant. The...","Los Angeles, California"
Khao Soi Khun Yai,"Firstly, do not make the mistake of relying on the map in tripadvisor to find this place. Instead see asupsiri's excellent directions in the review a few before this one. The khao soi beef I had was very good and just 35 baht. Perhaps my...",Samuel H
Baan Buri Cafe and Restaurant,"Standing out from every dining spot we visited on this trip to Chiang Mai, Baan Buri has that magic combination of atmosphere, service and (most importantly) good food.

The (limited) garden tables are cool and shaded, with a wall of plant life behind you and...",Angelino-Jafa
Khao Soi Khun Yai,"No wonder this place only gets 5 star reviews, this was one of the best dishes I've had in Thailand. A little bit of a wait, but what do you expect when the food is so damn good!",dennisegarcia
Baan Buri Cafe and Restaurant,"My husband and I happened across this restaurant and thoroughly loved it!  We could not believe the fabulous meal we had for 190 baht (about $4).  There was a great selection of meals, all served with spring rolls, a salad, drink and dessert!  Unfortunately, I...","Auckland, New Zealand"
Khao Soi Khun Yai,We were reading about this restraurant and did eventually find it what a find we have been in Luang Prabang for three days and this is the best   The food is terrific and although a limited menu the food is superb the drinks were very...,"Taguig City, Philippines"
Pakorn's Kitchen,"Pakorn Kitchen should be your number one culinary destination in Chiang Mai. Let me repeat myself: if you love food, then make visiting Pakorn Kitchen a top priority!  

This unpretentious and affordable restaurant serves the best massamun curry in the city (if not the country)...",JaymesC9
